Date,buySize,buyPrice,sellSize,sellPrice
01-03-2022,0.026520064,37707.3,0.026516941,37711.74
01-03-2022,0.026516941,37711.74,0.026516941,37711.74
01-03-2022,0.026516941,37711.74,0.026516934,37711.75
01-03-2022,0.02651401,37715.91,0.026514003,37715.92
01-03-2022,0.02651401,37715.91,0.026514003,37715.92
01-03-2022,0.02651401,37715.91,0.02651401,37715.91
01-03-2022,0.026514003,37715.92,0.026512477,37718.09
01-03-2022,0.026512477,37718.09,0.026511142,37719.99
01-03-2022,0.026508239,37724.12,0.026508239,37724.12
01-03-2022,0.026507024,37725.85,0.026506532,37726.55
01-03-2022,0.026507017,37725.86,0.026504199,37729.87
01-03-2022,0.026503708,37730.57,0.0265012,37734.14
01-03-2022,0.0265012,37734.14,0.0265012,37734.14
01-03-2022,0.026501207,37734.13,0.026501207,37734.13
01-03-2022,0.026501207,37734.13,0.02649877,37737.6
01-03-2022,0.026498777,37737.59,0.026496538,37740.78
01-03-2022,0.026496889,37740.28,0.026498988,37737.29
01-03-2022,0.026496882,37740.29,0.026501046,37734.36
01-03-2022,0.026501046,37734.36,0.026501053,37734.35
01-03-2022,0.026501046,37734.36,0.026501053,37734.35
01-03-2022,0.026501046,37734.36,0.02649849,37738
01-03-2022,0.026496355,37741.04,0.026495253,37742.61
01-03-2022,0.026494769,37743.3,0.026494776,37743.29
01-03-2022,0.026495253,37742.61,0.026495323,37742.51
01-03-2022,0.02649434,37743.91,0.026493716,37744.8
01-03-2022,0.026494762,37743.31,0.026494762,37743.31
01-03-2022,0.026494762,37743.31,0.026494762,37743.31
01-03-2022,0.026501446,37733.79,0.02650356,37730.78
01-03-2022,0.026503567,37730.77,0.02650356,37730.78
01-03-2022,0.02650356,37730.78,0.026503567,37730.77
01-03-2022,0.026503567,37730.77,0.02650356,37730.78
01-03-2022,0.02650356,37730.78,0.026503567,37730.77
01-03-2022,0.02650356,37730.78,0.026503567,37730.77
01-03-2022,0.026503567,37730.77,0.026503567,37730.77
01-03-2022,0.026508956,37723.1,0.026508281,37724.06
01-03-2022,0.026508281,37724.06,0.026508281,37724.06
01-03-2022,0.026508274,37724.07,0.026508246,37724.11
01-03-2022,0.026503623,37730.69,0.026503623,37730.69
01-03-2022,0.026499353,37736.77,0.026499353,37736.77
01-03-2022,0.026499353,37736.77,0.026499353,37736.77
01-03-2022,0.026499353,37736.77,0.026499353,37736.77
01-03-2022,0.026499353,37736.77,0.026499353,37736.77
01-03-2022,0.026499353,37736.77,0.026499325,37736.81
01-03-2022,0.02648827,37752.56,0.026487218,37754.06
01-03-2022,0.026487218,37754.06,0.02648808,37752.83
01-03-2022,0.026488073,37752.84,0.026488073,37752.84
01-03-2022,0.02648808,37752.83,0.026489322,37751.06
01-03-2022,0.026491133,37748.48,0.026488073,37752.84
01-03-2022,0.026487323,37753.91,0.026487316,37753.92
01-03-2022,0.026487316,37753.92,0.026487323,37753.91
01-03-2022,0.026487218,37754.06,0.026486488,37755.1
01-03-2022,0.026485639,37756.31,0.026485436,37756.6
